# Source: pgeocode/GeoNames (https://www.geonames.org/) — CC BY 4.0
# Downloaded: 2026-04-10
# Fields: zip, lat, lng, city, state_id, state_name, county
zip,lat,lng,city,state_id,state_name,county
99747,70.1319,-143.6239,Kaktovik,AK,Alaska,North Slope
99759,69.7439,-163.0084,Point Lay,AK,Alaska,North Slope
99766,68.3486,-166.7347,Point Hope,AK,Alaska,North Slope
99782,70.6369,-160.0383,Wainwright,AK,Alaska,North Slope
99789,70.1927,-150.9971,Nuiqsut,AK,Alaska,North Slope
99791,70.4947,-157.4411,Atqasuk,AK,Alaska,North Slope
99727,65.9789,-161.1262,Buckland,AK,Alaska,Northwest Arctic
99736,66.0737,-162.714,Deering,AK,Alaska,Northwest Arctic
99749,66.975,-160.4228,Kiana,AK,Alaska,Northwest Arctic
99750,67.7269,-164.5333,Kivalina,AK,Alaska,Northwest Arctic
99751,66.9072,-156.8811,Kobuk,AK,Alaska,Northwest Arctic
99752,66.8985,-162.5981,Kotzebue,AK,Alaska,Northwest Arctic
99761,67.5711,-162.9653,Noatak,AK,Alaska,Northwest Arctic
99763,66.8364,-161.0441,Noorvik,AK,Alaska,Northwest Arctic
99770,66.6039,-160.0069,Selawik,AK,Alaska,Northwest Arctic
99773,66.8881,-157.1364,Shungnak,AK,Alaska,Northwest Arctic
99786,67.0861,-157.8514,Ambler,AK,Alaska,Northwest Arctic
99830,56.9736,-133.936,Kake,AK,Alaska,Petersburg
99833,56.8271,-133.1607,Petersburg,AK,Alaska,Petersburg
99836,56.2497,-134.6444,Port Alexander,AK,Alaska,Prince of Wales-Hyder
99903,55.7408,-132.2564,Meyers Chuck,AK,Alaska,Prince of Wales-Hyder
99918,55.9524,-132.7503,Coffman Cove,AK,Alaska,Prince of Wales-Hyder
99919,55.6609,-132.5138,Thorne Bay,AK,Alaska,Prince of Wales-Hyder
99921,55.4732,-133.1171,Craig,AK,Alaska,Prince of Wales-Hyder
99922,55.2087,-132.8259,Hydaburg,AK,Alaska,Prince of Wales-Hyder
99923,55.9169,-130.0247,Hyder,AK,Alaska,Prince of Wales-Hyder
99925,55.5526,-133.0555,Klawock,AK,Alaska,Prince of Wales-Hyder
99926,55.1215,-131.579,Metlakatla,AK,Alaska,Prince of Wales-Hyder
99927,56.3528,-133.6211,Point Baker,AK,Alaska,Prince of Wales-Hyder
99835,57.0514,-135.3166,Sitka,AK,Alaska,Sitka City and Borough
99840,59.4685,-135.3018,Skagway,AK,Alaska,Skagway
99689,59.812,-139.5505,Yakutat,AK,Alaska,Skagway-Hoonah-Angoon
99731,63.952,-146.451,Fort Greely,AK,Alaska,Southeast Fairbanks Census Area
99732,64.0733,-141.9361,Chicken,AK,Alaska,Southeast Fairbanks Census Area
